Designator,Mid X,Mid Y,Rotation,Layer
D46,235.529276,-53.187018,180.0,top
D47,288.3,-58.1,0.0,top
D48,119.029276,-56.387018,180.0,top
D49,210.5375,-59.1,0.0,top
D5,97.229276,-125.287018,180.0,top
D50,134.2,-82.1,270.0,top
D6,97.229276,-120.587018,0.0,top
D7,256.169276,-106.217018,0.0,top
D8,117.991776,-117.587018,180.0,top
D9,256.149276,-108.757018,0.0,top
FB1,281.629276,-94.087018,90.0,top
FB2,280.729276,-73.887018,180.0,top
FB3,241.029276,-128.287018,180.0,top
FB5,178.056776,-100.264518,270.0,top
FL1,275.629276,-105.587018,180.0,top
FL2,125.429276,-131.887018,90.0,top
GND1,179.856776,-107.604518,0.0,top
GPIO1,271.029276,-71.307018,0.0,top
GPIO2,271.029276,-68.767018,0.0,top
GPIO3,271.029276,-66.227018,0.0,top
H10,309.829276,-149.187018,90.0,top
H11,309.829276,-89.987018,90.0,top
H12,309.829276,-74.387018,90.0,top
H13,309.829276,-109.587018,90.0,top
H14,346.329276,-50.941791,270.0,top
H15,319.329276,-50.941791,270.0,top
H5,332.729276,-116.587018,0.0,top
H6,349.129276,-116.587018,0.0,top
H7,316.529276,-116.587018,0.0,top
H8,309.829276,-59.187018,90.0,top
H9,309.829276,-130.587018,90.0,top
J1,88.914276,-151.187018,0.0,top
J11,305.279276,-66.667018,90.0,top
J14,234.229276,-150.234719,0.0,top
J17,181.33343,-145.695017,180.0,top
J19,305.274276,-51.567018,90.0,top
J2,73.879276,-150.287018,0.0,top
J20,272.329149,-151.587018,0.0,top
J23,350.991977,-143.88702,90.0,top
J4,300.711776,-109.787018,90.0,top
J5,117.629276,-148.569518,0.0,top
J6,65.516776,-82.497018,270.0,top
J9,305.379276,-81.787018,90.0,top
JP10,285.999276,-109.170646,0.0,top
JP11,289.329276,-111.668146,0.0,top
JP15,282.699276,-106.570646,0.0,top
JP25,83.899276,-62.077018,180.0,top
JP26,83.899276,-59.427018,180.0,top
JP36,277.129276,-112.387018,270.0,top
JP5,129.329276,-134.987018,180.0,top
