Designator,Mid X,Mid Y,Rotation,Layer
L7,453.758333,-242.8235,270.0,top
L8,318.451323,-305.119,270.0,top
Q1,286.98,-262.55,180.0,top
Q2,286.98,-247.05,180.0,top
Q3,286.98,-231.55,180.0,top
Q5,286.98,-278.05,180.0,top
R1,425.1495,-310.006,270.0,top
R10,423.3715,-310.007,270.0,top
R100,350.276668,-285.194919,150.0,top
R101,382.35,-285.73295,210.0,top
R102,358.73,-282.966667,180.0,top
R103,372.41,-282.8,180.0,top
R104,348.643334,-288.023935,330.0,top
R105,383.983334,-288.561968,30.0,top
R106,358.73,-286.233334,0.0,top
R107,372.41,-286.066667,0.0,top
R108,347.010001,-290.852951,150.0,top
R109,385.616667,-291.390982,210.0,top
R11,278.63,-267.58,0.0,top
R110,358.73,-289.5,180.0,top
R111,429.2,-306.13,0.0,top
R112,467.98,-277.15,90.0,top
R114,372.41,-289.333333,180.0,top
R115,345.376668,-293.681968,330.0,top
R116,387.25,-294.22,30.0,top
R12,419.5,-288.7,180.0,top
R126,358.73,-292.766667,0.0,top
R127,372.41,-292.6,0.0,top
R13,420.7,-290.2,180.0,top
R130,343.743334,-296.510984,150.0,top
R131,388.883334,-297.049015,210.0,top
R134,358.73,-296.033334,180.0,top
R135,372.41,-295.866667,180.0,top
R14,416.05,-301.93,0.0,top
R140,450.18,-253.23,270.0,top
R142,472.49,-255.26,90.0,top
R143,471.55,-259.31,0.0,top
R144,455.76,-254.35,0.0,top
R146,451.71,-251.68,90.0,top
R148,290.27,-302.23,180.0,top
R149,309.49,-300.3,180.0,top
R15,416.04,-300.29,0.0,top
R150,293.475,-302.26,0.0,top
R153,342.11,-299.34,330.0,top
R155,390.516666,-299.878031,30.0,top
R16,416.54,-307.75,180.0,top
R167,408.2,-240.3,90.0,top
R168,437.8,-239.9,180.0,top
R17,299.0,-242.6,180.0,top
R170,414.25,-230.77,180.0,top
R171,448.373333,-248.4035,270.0,top
R174,484.8,-245.5,0.0,top
R175,484.8,-242.5,0.0,top
R18,463.24,-295.75,90.0,top
R19,452.88,-245.28,0.0,top
R190,312.1,-284.9,180.0,top
R193,358.73,-299.3,0.0,top
R194,372.41,-299.133333,0.0,top
R195,340.476668,-302.169016,150.0,top
R196,392.150001,-302.707048,210.0,top
R2,425.9745,-307.53,0.0,top
R20,371.185,-270.84,180.0,top
R21,453.69,-239.2,180.0,top
R214,358.73,-302.566667,180.0,top
R215,372.410001,-302.4,180.0,top
R216,338.843333,-304.998033,330.0,top
R217,393.783334,-305.536066,30.0,top
R218,358.73,-305.833334,0.0,top
R219,372.41,-305.666667,0.0,top
R22,445.91,-294.59,0.0,top
R220,337.21,-307.827049,150.0,top
R221,395.416666,-308.36508,210.0,top
R222,358.73,-309.1,180.0,top
R223,372.41,-308.933333,180.0,top
R224,335.576668,-310.656065,330.0,top
R225,397.050001,-311.194098,30.0,top
R226,358.73,-312.366667,0.0,top
R227,372.410001,-312.2,0.0,top
R228,357.31,-271.285,270.0,top
R229,357.28,-274.395,270.0,top
R23,467.63,-303.14,0.0,top
R24,453.7,-240.2,180.0,top
R25,299.16,-274.53,180.0,top
R26,293.86,-276.13,180.0,top
R27,277.0,-252.5,0.0,top
R28,286.51,-293.525,270.0,top
R29,289.83,-293.55,270.0,top
R3,277.0,-282.0,0.0,top
R30,411.1,-269.1,90.0,top
R31,445.96,-297.92,0.0,top
R33,377.74,-245.04,270.0,top
R34,367.61,-245.88,90.0,top
R35,368.75,-245.88,90.0,top
R36,470.205,-305.05,0.0,top
R37,473.22,-305.04,180.0,top
R38,443.07,-302.14,0.0,top
R39,470.97,-303.14,180.0,top
R4,299.0,-259.0,180.0,top
R40,348.62,-278.295,90.0,top
R41,375.45,-278.645,270.0,top
R43,332.6,-230.44,90.0,top
R44,368.175,-270.84,0.0,top
R45,356.12,-278.535,90.0,top
R46,363.5,-239.4,180.0,top
R47,365.49,-278.545,270.0,top
R48,427.114167,-225.9365,180.0,top
R49,345.8,-229.4,180.0,top
R5,293.82,-260.64,180.0,top
R50,316.79,-224.95,90.0,top
R51,379.07,-238.94,180.0,top
R52,379.06,-239.92,180.0,top
R53,484.94,-230.66,0.0,top
R54,361.605,-274.6,0.0,top
R55,484.85,-227.41,0.0,top
R56,352.72576,-225.595952,180.0,top
R57,451.71,-236.28,180.0,top
R58,305.5,-231.0,180.0,top
R59,377.05,-234.19,180.0,top
R6,293.78,-245.15,180.0,top
R60,311.4,-300.3,180.0,top
R61,353.0,-273.0,270.0,top
R62,299.0,-228.0,180.0,top
